ID,Tópico,Perfil da Pergunta,Pergunta,Resposta Correta,Evidência na Base,Tag,Nível de Confiança
Q060,Discricionariedade da empresa,Cenário complexo,"Se minha preferência de férias conflitar com a necessidade da área, o gestor pode indicar outro período?",Sim. O gestor pode definir o melhor período para que o colaborador goze férias.,Gestor poderá estabelecer melhor período.,ferias_gestor_periodo,Alto
Q061,Discricionariedade da empresa,Negativo ou limite,Posso impor minha data de férias à empresa?,"Não conforme a política. O período deve ser alinhado, e a empresa tem discricionariedade para definir o melhor período.",Discricionariedade da empresa e definição pelo gestor.,ferias_discricionariedade,Alto
Q062,Discricionariedade da empresa,Busca por responsabilidade,Quem pode definir o melhor período das férias?,O gestor pode definir o melhor período para o colaborador gozar férias.,Gestor poderá definir melhor período.,ferias_gestor_periodo,Alto
Q063,Discricionariedade da empresa,Reformulação semântica,A decisão final do período pode ser da empresa?,Sim. A política informa que as férias são de discricionariedade da empresa.,Férias são de discricionariedade da empresa.,ferias_discricionariedade,Alto
Q064,Opções de férias,Direto ao ponto,Quais opções de férias posso escolher?,"O colaborador pode optar por 30 dias de férias, 20 dias de férias e 10 dias de abono pecuniário, ou parcelamento em até 3 períodos.",Opções: 30 dias; 20 + 10 abono; até 3 períodos.,ferias_opcoes,Alto
Q065,Opções de férias,Direto ao ponto,Posso tirar 30 dias de férias?,Sim. Uma das opções previstas é 30 dias de férias.,Opção de 30 dias de férias.,ferias_30_dias,Alto
Q066,Opções de férias,Coloquial ou ansioso,posso vender 10 dias das férias?,Sim. A política prevê a opção de 20 dias de férias e 10 dias de abono pecuniário.,20 dias de férias e 10 dias de abono.,ferias_abono,Alto
Q067,Opções de férias,Cenário complexo,Quero tirar 20 dias e converter 10 dias em abono. Isso está previsto?,Sim. A política prevê 20 dias de férias e 10 dias de abono pecuniário.,Opção 20 dias + 10 dias de abono.,ferias_abono,Alto
Q068,Opções de férias,Negativo ou limite,Posso vender todos os 30 dias?,Essa informação não está especificada na política fornecida. A política só menciona 10 dias de abono pecuniário.,Apenas 10 dias de abono são previstos.,ferias_abono_limite,Baixo
Q069,Opções de férias,Busca por procedimento,"Como escolho entre 30 dias, abono ou parcelamento?","A política informa as opções disponíveis, mas não detalha o procedimento operacional de escolha.","Lista opções, sem passo a passo específico.",ferias_opcoes,Médio
Q070,Opções de férias,Reformulação semântica,Posso fracionar as férias em vez de tirar tudo de uma vez?,Sim. A política permite parcelamento das férias em até 3 períodos.,Parcelamento em até 3 períodos.,ferias_parcelamento,Alto
Q071,Programação automática pelo RH,Direto ao ponto,O que acontece se ninguém programar minhas férias?,"Se colaborador e gestor não realizarem programação e aprovação, o RH fará isso automaticamente 60 dias antes da data de início das férias e comunicará o colaborador.",RH fará automaticamente 60 dias antes.,ferias_programacao_automatica,Alto
Q072,Programação automática pelo RH,Direto ao ponto,O RH pode programar férias automaticamente?,"Sim, caso colaborador e gestor não realizem a programação e aprovação.",RH realizará automaticamente se não houver programação/aprovação.,ferias_programacao_automatica,Alto
Q073,Programação automática pelo RH,Coloquial ou ansioso,"esqueci de marcar férias, o RH resolve?","A política informa que, se colaborador e gestor não programarem e aprovarem, o RH fará isso automaticamente e comunicará o colaborador.",RH executará automaticamente e informará.,ferias_programacao_automatica,Alto
Q074,Programação automática pelo RH,Cenário complexo,"Se o gestor também esquecer de aprovar minhas férias, quem agenda?","O RH fará a programação e aprovação automaticamente, comunicando o colaborador.",RH faz automaticamente se colaborador e gestor não fizerem.,ferias_programacao_automatica,Alto
Q075,Programação automática pelo RH,Negativo ou limite,Posso impedir o RH de programar automaticamente?,Essa informação não está especificada na política fornecida.,A política apenas diz que o RH fará automaticamente.,ferias_programacao_automatica,Baixo
Q076,Programação automática pelo RH,Busca por responsabilidade,Quem comunica o colaborador sobre férias programadas automaticamente?,O RH comunica o colaborador sobre o início das férias.,RH comunica o colaborador.,ferias_comunicacao,Alto
Q077,Programação automática pelo RH,Reformulação semântica,Quem age quando colaborador e gestor não concluem a programação?,O RH realiza a programação e aprovação automaticamente.,RH realizará isso automaticamente.,ferias_programacao_automatica,Alto
Q078,Férias de gaveta,Direto ao ponto,Férias de gaveta são permitidas?,Não. A política proíbe a prática de “férias de gaveta”.,Proibida a prática de férias de gaveta.,ferias_gaveta,Alto
Q079,Férias de gaveta,Direto ao ponto,Preciso realmente usufruir as férias?,Sim. Todos os colaboradores devem usufruir suas férias conforme programado.,Devem usufruir conforme programado.,ferias_gozo,Alto
Q080,Férias de gaveta,Coloquial ou ansioso,posso registrar férias e continuar trabalhando?,Não. A política proíbe férias de gaveta e exige usufruir as férias conforme programado.,Férias conforme programado; férias de gaveta proibidas.,ferias_gaveta,Alto
Q081,Férias de gaveta,Cenário complexo,"Meu gestor pediu para eu registrar férias, mas continuar disponível. Isso pode?","Não conforme a política. Todos devem usufruir as férias conforme programado, sendo proibidas férias de gaveta.",Proibição de férias de gaveta.,ferias_gaveta,Alto
Q082,Férias de gaveta,Negativo ou limite,Posso trabalhar durante as férias se for combinado informalmente?,Não conforme a política. A prática de férias de gaveta é proibida.,Férias de gaveta proibidas.,ferias_gaveta,Alto
Q083,Férias de gaveta,Busca por procedimento,O que devo fazer durante o período de férias programado?,Deve usufruir as férias conforme programado.,Colaboradores devem usufruir férias conforme definido.,ferias_gozo,Alto
Q084,Férias de gaveta,Reformulação semântica,A política permite férias apenas no papel?,Não. A prática de férias de gaveta é proibida.,Vedada/proibida a prática de férias de gaveta.,ferias_gaveta,Alto
Q085,Parcelamento das férias,Direto ao ponto,Posso parcelar minhas férias?,Sim. Gestor e colaborador podem concordar em parcelar as férias em até três períodos.,Parcelamento em até três períodos.,ferias_parcelamento,Alto
Q086,Parcelamento das férias,Direto ao ponto,Em quantas partes posso dividir férias?,"Em até três períodos, se houver acordo entre gestor e colaborador.",Podem dividir em até três períodos.,ferias_parcelamento,Alto
Q087,Parcelamento das férias,Coloquial ou ansioso,dá pra quebrar as férias em 3 vezes?,"Sim. A política permite parcelar em até três períodos, mediante acordo entre gestor e colaborador.","Até três períodos, por acordo.",ferias_parcelamento,Alto
Q088,Parcelamento das férias,Cenário complexo,"Quero parcelar, mas meu gestor não concorda. Posso mesmo assim?",Não conforme a política. O parcelamento depende de concordância entre gestor e colaborador.,Gestor e colaborador podem concordar.,ferias_parcelamento,Alto
Q089,Parcelamento das férias,Negativo ou limite,Posso dividir férias em quatro períodos?,Não. A política permite parcelamento em até três períodos.,Até três períodos.,ferias_parcelamento,Alto
Q090,Parcelamento das férias,Busca por responsabilidade,Quem precisa concordar com o parcelamento?,O gestor e o colaborador.,Gestor e colaborador podem acordar.,ferias_parcelamento,Alto
Q091,Parcelamento das férias,Reformulação semântica,O fracionamento das férias é permitido?,"Sim. É permitido em até três períodos, por acordo entre gestor e colaborador.",Fracionamento em até três períodos.,ferias_parcelamento,Alto
Q092,Limites do parcelamento,Direto ao ponto,Qual o mínimo de dias no parcelamento?,"Um dos períodos deve ter no mínimo 14 dias, e os demais, no mínimo 5 dias corridos cada.",Um período mínimo 14; demais mínimo 5.,ferias_parcelamento_limites,Alto
Q093,Limites do parcelamento,Direto ao ponto,Uma parcela pode ter menos de 5 dias?,Não. Os demais períodos não podem ser inferiores a 5 dias corridos cada.,Demais períodos mínimo de 5 dias corridos.,ferias_parcelamento_limites,Alto
Q094,Limites do parcelamento,Coloquial ou ansioso,posso tirar 3 dias agora e o resto depois?,Não conforme a regra de parcelamento. Os períodos menores não podem ser inferiores a 5 dias corridos.,Mínimo de 5 dias corridos.,ferias_parcelamento_limites,Alto
Q095,Limites do parcelamento,Cenário complexo,"Posso dividir as férias em 10, 10 e 10 dias?",Não. Um dos períodos deve ter no mínimo 14 dias.,Um dos períodos não poderá ser inferior a 14 dias.,ferias_parcelamento_limites,Alto
Q096,Limites do parcelamento,Negativo ou limite,Posso parcelar sem nenhum período de 14 dias?,Não. Um dos períodos deve ter no mínimo 14 dias.,"Um dos períodos deverá ter, no mínimo, 14 dias.",ferias_parcelamento_limites,Alto
Q097,Limites do parcelamento,Busca por procedimento,O que devo conferir antes de parcelar férias?,"Verifique se há no máximo três períodos, com um deles de no mínimo 14 dias e os demais de no mínimo 5 dias corridos.",Regras mínimas do parcelamento.,ferias_parcelamento_limites,Alto
Q098,Limites do parcelamento,Reformulação semântica,Qual é a menor duração permitida para férias fracionadas?,"Um período precisa ter pelo menos 14 dias, e os demais não podem ter menos de 5 dias corridos.",Mínimos de 14 e 5 dias.,ferias_parcelamento_limites,Alto
Q099,Férias dentro do período concessivo,Direto ao ponto,As férias devem ser tiradas dentro do período concessivo?,Sim. As férias devem ser usufruídas dentro do período concessivo.,Férias devem ser usufruídas dentro do período concessivo.,ferias_periodo_concessivo,Alto
Q100,Férias dentro do período concessivo,Direto ao ponto,Por que respeitar o período concessivo?,Para evitar o pagamento de férias em dobro.,Evitar pagamento de férias em dobro.,ferias_dobro,Alto
Q101,Férias dentro do período concessivo,Coloquial ou ansioso,"se passar do prazo, vira férias em dobro?",A política informa que as férias devem ser usadas dentro do período concessivo para evitar pagamento em dobro.,Férias dentro do período concessivo para evitar pagamento em dobro.,ferias_dobro,Alto
Q102,Férias dentro do período concessivo,Cenário complexo,Minhas férias estão perto de vencer no período concessivo. Qual é o risco?,O risco indicado pela política é gerar pagamento de férias em dobro se não forem usufruídas dentro do período concessivo.,Evitar férias em dobro.,ferias_dobro,Alto
Q103,Férias dentro do período concessivo,Negativo ou limite,Posso acumular férias fora do período concessivo?,Não conforme a política. As férias devem ser usufruídas dentro do período concessivo.,Devem ser utilizadas dentro do período concessivo.,ferias_periodo_concessivo,Alto
Q104,Férias dentro do período concessivo,Busca por responsabilidade,Quem deve evitar férias fora do período concessivo?,"O controle é responsabilidade do gestor imediato, e o RH acompanha pendências que possam gerar férias em dobro.",Gestor controla; RH identifica pendências.,ferias_dobro,Alto
Q105,Férias dentro do período concessivo,Reformulação semântica,Férias precisam ser gozadas no prazo correto?,Sim. Devem ser gozadas dentro do período concessivo.,Férias precisam ser usufruídas dentro do período concessivo.,ferias_periodo_concessivo,Alto
Q106,E-mail automático,Direto ao ponto,Quando recebo aviso de vencimento das férias?,O colaborador recebe e-mail automático 60 dias antes do vencimento das férias.,E-mail automático 60 dias antes do vencimento.,ferias_email_automatico,Alto
Q107,E-mail automático,Direto ao ponto,O aviso de férias vem por e-mail?,Sim. A política informa que o colaborador recebe e-mail automático.,Receberá e-mail automático.,ferias_email_automatico,Alto
Q108,E-mail automático,Coloquial ou ansioso,o sistema avisa quando minhas férias tão vencendo?,Sim. O colaborador recebe comunicado automático por e-mail 60 dias antes do vencimento.,Notificação automática por e-mail 60 dias antes.,ferias_email_automatico,Alto
Q109,E-mail automático,Cenário complexo,Recebi e-mail automático de férias. O que ele indica que devo fazer?,O e-mail indica que o colaborador deve realizar a programação no portal RH.,E-mail para realizar programação no portal RH.,ferias_email_automatico,Alto
Q110,E-mail automático,Negativo ou limite,A política informa outro canal além de e-mail?,Essa informação não está especificada na política fornecida.,O texto menciona e-mail automático.,ferias_comunicacao,Baixo
Q111,E-mail automático,Busca por procedimento,O que faço após receber o e-mail de vencimento?,Deve realizar a programação no portal RH.,E-mail automático para programação no portal RH.,ferias_programacao,Alto
Q112,E-mail automático,Reformulação semântica,Com quantos dias de antecedência sou notificado sobre o vencimento?,Com 60 dias de antecedência.,60 dias antes do vencimento.,ferias_email_automatico,Alto
Q113,Responsabilidade do gestor imediato,Direto ao ponto,Quem aprova as férias?,O gestor imediato é responsável pela aprovação das férias.,Aprovação das férias é responsabilidade do gestor imediato.,ferias_gestor_imediato,Alto
Q114,Responsabilidade do gestor imediato,Direto ao ponto,Quem controla os períodos aquisitivos?,O gestor imediato controla os períodos aquisitivos.,Gestor imediato controla períodos aquisitivos.,ferias_controle_aquisitivo,Alto
Q115,Responsabilidade do gestor imediato,Coloquial ou ansioso,meu gestor que tem que cuidar pra não vencer férias?,Sim. O gestor imediato é responsável pelo controle dos períodos aquisitivos para evitar férias em dobro.,Gestor controla para evitar férias em dobro.,ferias_gestor_imediato,Alto
Q116,Responsabilidade do gestor imediato,Cenário complexo,"Se houver risco de férias em dobro, quem tem responsabilidade direta pelo controle?",O gestor imediato é responsável pela aprovação e controle dos períodos aquisitivos para evitar férias em dobro.,Responsabilidade do gestor imediato.,ferias_dobro,Alto
Q117,Responsabilidade do gestor imediato,Negativo ou limite,O colaborador aprova sozinho as próprias férias?,Não. A aprovação é responsabilidade do gestor imediato.,Gestor imediato realiza aprovação.,ferias_aprovacao,Alto
Q118,Responsabilidade do gestor imediato,Busca por responsabilidade,Quem deve acompanhar aprovação e controle das férias?,O gestor imediato.,Cabe ao gestor imediato a aprovação e controle.,ferias_gestor_imediato,Alto
Q119,Responsabilidade do gestor imediato,Reformulação semântica,Cabe ao gestor controlar férias vencendo?,Sim. Cabe ao gestor imediato controlar períodos aquisitivos para evitar férias em dobro.,Gestor controla períodos aquisitivos.,ferias_controle_aquisitivo,Alto
Q120,Antecedência mínima para aprovação,Direto ao ponto,Qual prazo mínimo para aprovar férias?,As férias devem ser aprovadas com no mínimo 35 dias de antecedência do início do período de gozo.,Aprovação com no mínimo 35 dias.,ferias_prazo_aprovacao,Alto
Q121,Antecedência mínima para aprovação,Direto ao ponto,Férias podem ser aprovadas faltando menos de 35 dias?,Não conforme a política. O prazo mínimo de aprovação é de 35 dias.,Mínimo de 35 dias de antecedência.,ferias_prazo_aprovacao,Alto
Q122,Antecedência mínima para aprovação,Coloquial ou ansioso,dá pra aprovar férias em cima da hora?,Não conforme a política. As férias precisam ser aprovadas com no mínimo 35 dias de antecedência.,Aprovação mínima de 35 dias.,ferias_prazo_aprovacao,Alto
Q123,Antecedência mínima para aprovação,Cenário complexo,Minhas férias começam em 30 dias e ainda não foram aprovadas. Está dentro da regra?,Não. A política exige aprovação com no mínimo 35 dias de antecedência.,35 dias antes do início do gozo.,ferias_prazo_aprovacao,Alto
Q124,Antecedência mínima para aprovação,Negativo ou limite,O gestor pode aprovar férias sem respeitar 35 dias?,Não conforme a política. O prazo mínimo de 35 dias deve ser respeitado.,Férias devem receber aprovação com 35 dias.,ferias_prazo_aprovacao,Alto
Q125,Antecedência mínima para aprovação,Busca por procedimento,Quando devo garantir a aprovação das férias?,A aprovação deve ocorrer pelo menos 35 dias antes do início do período de gozo.,Aprovação com 35 dias de antecedência.,ferias_prazo_aprovacao,Alto
Q126,Antecedência mínima para aprovação,Reformulação semântica,Com quanto tempo antes as férias precisam estar autorizadas?,Com no mínimo 35 dias de antecedência.,"Autorização com, no mínimo, 35 dias.",ferias_prazo_aprovacao,Alto
Q127,Alteração da data de férias,Direto ao ponto,Posso alterar a data das férias?,"Sim, desde que seja respeitado o prazo de 35 dias.",Alteração da data deve respeitar 35 dias.,ferias_alteracao_data,Alto
Q128,Alteração da data de férias,Direto ao ponto,Qual prazo para mudar férias?,O prazo para alteração da data é de 35 dias.,Mesmo prazo mencionado: 35 dias.,ferias_alteracao_data,Alto
Q129,Alteração da data de férias,Coloquial ou ansioso,"preciso mudar minhas férias, tem prazo?","Sim. Para alterar a data, o prazo de 35 dias deve ser respeitado.",Alteração deve observar 35 dias.,ferias_alteracao_data,Alto
